symbol,sector,industry,gain,market_cap
GBLI,Financial Services,Insurance - Property & Casualty,-0.006664445184938448,413693089.0656
GBR,Real Estate,Real Estate Services,-0.07272727272727278,5234572.68
GBTG,Technology,Software - Application,0.2519561815336464,3827301080.0
GBX,Industrials,Railroads,-0.17906188692705546,1432800248.85
GCBC,Financial Services,Banks - Regional,-0.08090075062552132,372206460.08
GCI,Consumer Cyclical,Publishing,0.14600550964187334,611581640.5
GCMG,Financial Services,Asset Management,0.028326180257510734,2239500243.2
GCO,Consumer Cyclical,Apparel Retail,0.3975011568718186,330928563.78000003
GCT,Technology,Software - Infrastructure,0.4102822580645162,1089404437.16
GCTK,Healthcare,Medical Instruments & Supplies,0.16169544740973316,169890063.92
GCTS,Industrials,Shell Companies,0.15151515151515146,72369720.0
GD,Industrials,Aerospace & Defense,0.16619718309859166,92203138634.75
GDC,Technology,Communication Equipment,0.8463768115942029,84260652.84
GDDY,Technology,Software - Infrastructure,-0.24407861582395432,18941691404.0
GDEN,Consumer Cyclical,Resorts & Casinos,-0.21914191419141915,630696856.53
GDEV,Communication Services,Electronic Gaming & Multimedia,1.141533266862816,644043758.75
GDHG,Consumer Cyclical,Leisure,4.253521126760564,7731450.0
GDOT,Financial Services,Credit Services,0.17535971223021593,709866432.66
GDRX,Healthcare,Health Information Services,-0.044303797468354424,1724325367.76
GDS,Technology,Information Technology Services,0.2261757425742575,64306730339.05
GDST,Industrials,Shell Companies,-0.07563025210084036,41305452.0
GDTC,Healthcare,Biotechnology,-0.07249319366895862,23195399.999999996
GDYN,Technology,Information Technology Services,-0.314935064935065,698373505.48
GE,Industrials,Specialty Industrial Machinery,0.1944500301628795,321396841722.25
GECC,Financial Services,Asset Management,-0.19121683440073192,103668846.7
GEF,Consumer Cyclical,Packaging & Containers,-0.11920337258322433,2865199994.4
GEG,Financial Services,Asset Management,0.1690821256038648,65752400.63999999
GEHC,Healthcare,Health Information Services,0.026135906714917608,35129656174.2
GEL,Energy,Oil & Gas Midstream,-0.06892590465249852,1983921951.6
